CityID,Date,TempDay,PressureDay,CloudinessDay,EventsDay,WindinessDay,TempEvening,PressureEvening,WindinessEvening,EventsEvening,WindinessEvening
4853,2022-02-01,-17,761,пасмурно,-,Ю 1м/с,-18,761,-,-,Ю 1м/с
4853,2022-02-02,-16,761,ясно,-,Ю 2м/с,-25,761,-,-,Ю 2м/с
4853,2022-02-03,-19,760,ясно,-,Ю 1м/с,-26,761,-,-,Ю 1м/с
4853,2022-02-04,-18,759,ясно,-,Ю 1м/с,-20,759,-,-,Ю 1м/с
4853,2022-02-05,-18,758,ясно,-,Ю 3м/с,-20,760,-,-,Ю 3м/с
4853,2022-02-06,-18,761,ясно,-,Ю 2м/с,-25,764,-,-,Ю 2м/с
4853,2022-02-07,-17,764,ясно,-,ЮЗ 1м/с,-28,765,-,-,ЮЗ 1м/с
4853,2022-02-24,-13,755,ясно,-,Ю 4м/с,-18,755,-,-,Ю 4м/с
4853,2022-02-25,-8,751,ясно,-,Ю 5м/с,-14,750,-,-,Ю 5м/с
4853,2022-02-26,-7,745,ясно,-,Ю 2м/с,-9,745,-,-,Ю 2м/с
4853,2022-02-27,-8,749,малооблачно,-,Ю 2м/с,-12,750,-,-,Ю 2м/с
4853,2022-02-28,-12,752,ясно,-,Ю 3м/с,-17,752,-,-,Ю 3м/с
4853,2022-03-01,-10,750,ясно,-,Ю 2м/с,-17,751,-,-,Ю 2м/с
4853,2022-03-02,-9,752,ясно,-,Ю 1м/с,-16,753,-,-,Ю 1м/с
4853,2022-03-03,-9,753,ясно,-,Ю 3м/с,-19,754,-,-,Ю 3м/с
4853,2022-03-04,-5,755,ясно,-,Ш,-12,754,-,-,Ш
4853,2022-03-05,-6,752,пасмурно,-,С 6м/с,-7,755,-,-,С 6м/с
4853,2022-03-06,-3,758,пасмурно,-,С 3м/с,-,-,-,-,-
4853,2022-03-07,-4,758,ясно,-,Ю 3м/с,-12,758,-,-,Ю 3м/с
4853,2022-03-08,-6,760,ясно,-,Ю 4м/с,-14,760,-,-,Ю 4м/с
4853,2022-03-09,-3,761,ясно,-,Ю 2м/с,-7,760,-,-,Ю 2м/с
4853,2022-03-10,+4,755,малооблачно,-,Ю 1м/с,-3,753,-,-,Ю 1м/с
4853,2022-03-11,0,755,ясно,-,С 4м/с,-5,758,-,-,С 4м/с
4853,2022-03-12,-1,761,ясно,-,СВ 3м/с,-5,763,-,-,СВ 3м/с
4853,2022-03-13,0,762,малооблачно,-,СВ 2м/с,-4,763,-,-,СВ 2м/с
4853,2022-03-14,+1,762,ясно,-,З 2м/с,-4,762,-,-,З 2м/с
4853,2022-03-15,-2,761,пасмурно,снег,С 3м/с,-3,762,-,-,С 3м/с
4853,2022-03-16,+1,763,малооблачно,-,С 3м/с,-3,763,-,-,С 3м/с
4853,2022-03-17,-3,762,малооблачно,снег,Ю 5м/с,-6,764,-,-,Ю 5м/с
4853,2022-03-18,-6,764,ясно,-,Ю 3м/с,-13,764,-,-,Ю 3м/с
4853,2022-03-19,0,761,ясно,-,С 3м/с,-5,761,-,-,С 3м/с
4853,2022-03-20,+1,758,малооблачно,-,С 1м/с,-5,758,-,-,С 1м/с
4853,2022-03-21,-4,755,пасмурно,-,Ю 3м/с,-8,755,-,-,Ю 3м/с
4853,2022-03-22,-6,753,пасмурно,-,Ю 3м/с,-11,754,-,-,Ю 3м/с
4853,2022-03-23,0,756,ясно,-,Ю 3м/с,-5,757,-,-,Ю 3м/с
4853,2022-03-24,+4,759,ясно,-,Ю 2м/с,-6,761,-,-,Ю 2м/с
4853,2022-03-25,+5,759,облачно,-,З 1м/с,+1,759,-,-,З 1м/с
4853,2022-03-27,-5,747,пасмурно,снег,С 8м/с,-5,751,-,-,С 8м/с
4853,2022-03-28,0,758,ясно,-,Ю 6м/с,-4,758,-,-,Ю 6м/с
4853,2022-03-29,+1,751,пасмурно,снег,Ю 4м/с,+1,750,-,-,Ю 4м/с
4853,2022-03-30,0,760,пасмурно,-,С 5м/с,-2,763,-,-,С 5м/с
4853,2022-03-31,+1,761,малооблачно,-,Ю 3м/с,-,-,-,-,-
4853,2022-04-01,0,762,пасмурно,-,Ю 2м/с,-,-,-,-,-
4853,2022-04-03,+3,755,пасмурно,-,Ю 4м/с,+3,755,-,-,Ю 4м/с
4853,2022-04-04,+8,753,малооблачно,-,Ю 5м/с,+4,755,-,-,Ю 5м/с
4853,2022-04-05,,,-,-,,+2,746,-,-,Ш
4853,2022-04-06,+1,746,пасмурно,-,ЮЗ 8м/с,-1,749,-,-,ЮЗ 8м/с
4853,2022-04-07,+2,750,облачно,-,ЮЗ 6м/с,-3,752,-,-,ЮЗ 6м/с
4853,2022-04-08,+3,752,пасмурно,-,Ю 4м/с,0,753,-,-,Ю 4м/с
4853,2022-04-09,+4,755,малооблачно,-,СВ 3м/с,-,-,-,-,-
4853,2022-04-10,+7,759,ясно,-,З 1м/с,+4,757,-,-,З 1м/с
4853,2022-04-11,+2,757,пасмурно,-,С 4м/с,0,758,-,-,С 4м/с
4853,2022-04-12,+1,760,пасмурно,снег,С 4м/с,-1,761,-,-,С 4м/с
4853,2022-04-13,,,-,-,,-2,766,-,-,Ш
4853,2022-04-14,0,763,пасмурно,-,ЮЗ 2м/с,-,-,-,-,-
4853,2022-04-15,+8,758,ясно,-,Ю 6м/с,+2,757,-,-,Ю 6м/с
4853,2022-04-16,+8,750,малооблачно,-,ЮВ 4м/с,+2,752,-,-,ЮВ 4м/с
4853,2022-04-17,+1,755,пасмурно,-,С 4м/с,0,758,-,-,С 4м/с
4853,2022-04-18,+5,757,облачно,-,Ю 4м/с,+1,757,-,-,Ю 4м/с
4853,2022-04-19,+9,749,ясно,-,Ю 5м/с,+7,747,-,-,Ю 5м/с
4853,2022-04-20,+15,741,ясно,-,ЮЗ 7м/с,+11,742,-,-,ЮЗ 7м/с
4853,2022-04-21,+7,750,пасмурно,-,С 4м/с,+2,751,-,-,С 4м/с
4853,2022-04-22,+5,748,пасмурно,-,С 5м/с,+2,749,-,-,С 5м/с
4853,2022-04-23,+8,752,пасмурно,-,ЮВ 2м/с,+6,752,-,-,ЮВ 2м/с
